ジャンル,投稿日時,星の数,見出し,レビュー全文,ネタバレに該当する部分
,,5,恋愛はちょっとした恐怖,驚いた～！なるほどそういうことかと、、。初め小さかった違和感が読むにつれ大きくなっていく恐怖。読み終わったあとに点と点が繋がり納得。最後に種明かし的な解説ページがあり、それも面白かった。女は怖いなーと思う。けどこんな子はそうそういないかな？笑　映画だと確かにこれどうやったのだろうと気になりました！,
,,3,A面とB面はズバリだった。,"普段、自分がいかに不注意で本を読んでいたかを気づかせてくれた本です。
自分に都合よく解釈して本を読んでいた。
あれ？鈴木君は富士通に就職したんじゃなかったけ？
そっか、ギフト商品の会社に変わったのね。
1度目は脳内で辻褄があうように読んでいたから、単なる青春小説か、クソだなと思った。
しかし、レビューや帯の2度読めから、改めて読むと謎ときになった。
副題のside. A. や side B はズバリだった。
これからはもっと丁寧に本を読もうと思います。
内容はつまらない。","鈴木君
"
,,2,途中でトリックに気づいてしまいました,"元々、「伏線」などのキーワードで探して面白そうだと思って購入したので、途中でトリックに気づいてしまいました。
先入観無く、素直に読んでいたら、何も気づかず最後のどんでん返しを楽しめたかもしれません。
文章自体は面白かったですが。
帯やあらすじなどにも、トリックがあることをにおわせることが書いてあるので、同じように途中で気づく方も多いのでは、と思います",
,,4,はめられた,"自分、アホすぎて読み終わった後も考察サイト見ないと全貌が把握出来ませんでした。
さすが良く出来ていて、すっかりハメられました。
Kindle版で読むと皆がハイライトしている部分（=重要な伏線）が見えるので、それを確認しては無駄に深読みをしてしまった。
これから読む人へ:
読んでいて、途中で違和感を感じるが、きっとあなたの勘違いや記憶違いではない。
なんとなくスルーせずに「なんで？何かおかしくない？」って気にしながら読んでいたら、オチがより楽しめるかも。",
,,4,恋愛小説だと思って油断していたら…,"題名からもお察しの通り、完全な恋愛小説です。男女が知り合って、恋におちて、付き合って、でもいつのまにかすれ違いが…という、とっても“ストレート”なお話。
この作者は恥ずかしながら全く知らない方だったのですがネットで話題になっているのを知り思い切って購入しました。
帯には　「評判通りの仰天作。必ず二回読みたくなる小説などそうそうあるものじゃない by 読売新聞」　と…“ちょっと大げさなんじゃないの～？”とツッコミつつ数日前から読み始めました。読み始めると…ホントに、めちゃくちゃ、そのままズバリ「恋愛小説」なんですよ。読んでて恥ずかしくなるくらい。台詞がクサいとかじゃなくて、もうリアルすぎて。男性視点から描かれているので、男性ってこういう時ああいうこと考えてるのかなぁとちょっと勉強になったり（笑）。で、そのままどんどんページを読み進めて行って…
…最後の二行。
驚きました！！！！！
いやはや、ストレートな恋愛小説どころかとんでもない問題作でした。トリック（というのかどうかは解からないけど）に全く気付いてなかった私は腰を抜かしてしまいましたよ。
そしてもちろんすぐさま最初の１ページから読み始めました…",
,,4,80年代の香りプンプン◎,仕掛に関しては、二度読んでなるほど。。。となる作品ですが、そうした部分抜きにしても、あまりモテたことない男なら分かる男女間の微妙な駆引きややり取りが秀逸。Wi-Fiも携帯もなかった昔を思い出してせつない気持ちになる良作ですよ。,
,,4,最後からの２行目で騙されていたことに気づきました,"帯に「300万人が騙された」とありましたが正に私もそうでした。
一見なんの変哲もない恋愛小説に思えますが、トリックがわかるとミステリー小説のようになり、違った面で楽しむことができます。
""映画も見てみたくなりました！",
,,5,ミステリーだとあらかじめわかっていても。,"残りページ数も少ない物語終盤。「これからどういうどんでん返しがあるの？」と全く予想出来ないまま最後のページにたどり着き、そのままあっけなく騙されて終わった。
""「どんでん返し」な展開はこれまであまり読んでこなかったので、他の小説も読んでみたいと思う。",
,,4,確かに2度読んだ。,"""しかしそれ以降、読もうとは思わない。ま、ミステリって大概そんなもんか。",
,,4,なるほど～,"""何かが変、、でもすぐには分かりませんでした。しばらく悶々として、なるほど～(^^;;って感じでした。最後から二行目になにが起こるんだろう、、、と、それだけを楽しみに読み進めました。そこを読んだ時は、え？なに？は？なんで？と混乱しました。",
,,5,面白い！,"""映画化させる前にみたのが、一回目ではわからなかったが２回見たら凄くおもしろかった！",
,,5,実に面白かった,"テレビでおすすめしていたのですが間違いありませんでした。
""最後まで読むと何かに気づき読み返すでしょう。",
,,3,噂通り,最後に『えっ？』となりました。そしてもう一度読み返しました。,
,,4,えっ？！と本を捲り返す事間違いなし,"""面白かったです。最後2行を読んだだけでは何のことかわかりません。トリックが解った瞬間、素直に騙されていた自分を自分で笑ってしまいました。映画はどんな終わり方をしたのか知らないので観てみたいです。",
,,2,少しがっかり,"結末のサプライズを期待していましたが、想定範囲でした。
""映画は違うのかな？",
,,5,面白い,"""面白い(o^^o)入院中に読みたくて買ったけど、ランキングにのってただけありました( ^ ^ )/■",
,,4,まぁ、なんだ…,"そーゆー返しなのだとは思わず、他の事象にばかり注意を払ってました。
難聴の原因は、実はマユが毒を盛ってたんじゃないかとかね（笑）。
最もだるいと思った、夕樹の初体験パートだけ読み飛ばしましたが
改めて目を通したら、ミスリードを補強するような記述になっとりましたね。
どうでもいいか。
[追記]
レビュー直後謎解き～のサイトを見たんですが、意外とよく出来てるかな～という気になってきました。
万人にオススメは出来かねるけど、けちょんけちょんに貶す程でもないかな。
""Side-Bから、”表向きの主人公”が代わってるのに気づけなかったのが、やっぱ悔しい。","マユ
夕樹"
,,4,映画とは違った面白さ,"映画を先に見て原作に興味を持って、読んでみました。
""活字で見て初めて（深い）意味に気付いた映画のセリフもあったりして、なかなか楽しめました。",
,,4,どんな連続殺人事件よりも恐ろしい日常【ネタバレあり】,"評価の高いミステリだと知らなかったら最後まで読めないほど退屈な内容
でも最後まで読むと評価が一変する
""女って怖い。殺人事件より怖い",
,,2,MB,"""前半は楽しめたが、後半からエンディングがイマイチ。余韻残しすぎ。",
