ジャンル,投稿日時,星の数,見出し,レビュー全文
文学・評論,2014年8月31日,4,面白かったです。,映画を観て原作が読みたくなって買いました。なかなか面白い小説でした。映画と原作の違いが分かって映画が更に面白く２度目以降も見ることができると思います。
文学・評論,2015年1月11日,4,読後感,楽しみながら、ちょっと歴史がわかる本でした。中巻を直ぐに読みたくなる構成です。
文学・評論,2004年7月11日,5,寝不足にご用心,初期のキリスト教が現在のキリスト教とはまったく違う姿の宗教であったことは、高校の授業で教わった。４世紀に入ってローマ帝国のコンスタンティヌス帝がキリスト教を公認してから、キリスト教は変貌を遂げ、テオドシウス帝がこれを国教とするにおよんで西欧社会のほとんどを教区におさめることになる。いっぽう初期キリスト教は途絶えたかに見えたが、シオン修道会やテンプル騎士団を形成してキリストの遺跡を隠し伝えてきた。それらはサングリアル文書、聖杯、キリスト遺族の血統などであるが、どれをとっても現代社会を根底から覆すほどの威力を持っているだけに巨額の金員や利権の対象となる。かくて両教団の間に新興の教団とハンターが割って入って四つ巴の争奪戦が権謀術策の限りを尽くして繰り広げられる。前作「天使と悪魔」では反物質爆弾がわれわれの頭上に擬せられたギロチンの刃になるが、今作ではキリストの遺跡がハラハラドキドキの起爆材になる。波乱万丈、手に汗を握るとか巻措くを適わずという陳腐な形容しか思いつかないのは、上下二巻642ページを二日で読破させられた脳がまだ痺れているためと弁解させていただきます（睡眠不足にご注意を）。秘宝は収まるべきところに収まって一件落着となるが、紛争の火種が絶えたわけではない。前作に登場する秘密結社イルミナティも本作のレオナルド ダ・ヴィンチもルネサンス期に関連している。レオナルドの一代前のシオン修道会総長であるボッティチェリが描いた“春”はモナリザと同様の神秘に満ちている。バチカン、ローマ、パリ、ロンドンときたらどうしたって次はフィレンツェですよ、ダン・ブラウン先生。
文学・評論,2004年7月25日,4,上は面白いけど、下で落胆。,この本を読んで得られるものはダビンチの絵を見るときの注目箇所が増えるということである。人物造型は平板極まりなくミステリー小説としてもどうかという内容である。それでも上はそれなりに面白かったが途中顔を覗かせる既存のキリスト教会や聖書への疑義も後半では糖衣に包まれたかのようになあなあでごまかされてしまっていたのは残念の極みというべきである。やはり作者がキリスト教圏の人のためだろうか、読後は消化不良、欲求不満を覚えた。犯人が被害者を殺した理由や犯人が主人公の弱みを突かない理由、また宗教組織が絡んでくる理由については？？？という印象を持った。宗教ネタ好きにはこたえられないストーリーだろうがミステリーとしての質はどうなのだろうか、と思ってしまいました。上はすばらしく炎天下の中、十分歩いて下を買いに行きましたがエンディングはがっかりでした。この本に限らず”謎解きモノ”の終わり方ってなんでこうなんでしょうか？読んで損はない本だと思いますが２０００年の歴史を覆す・・とかいう宣伝文句に期待するとがっかりさせられますのでその辺ご注意あれ！
文学・評論,2006年10月4日,3,いろいろ勉強になりました。,現地に行ったことがある人や、キリスト教に興味の有る人にはお勧めです。もちろん素人でもそこそこ楽しめますが、文章構成が少し難しい気がします。地名や通り名が読みにくい部分で、イメージが沸きにくいと言えば伝わりますでしょうか？どちらにしても、小説+映画の両方を見た方が良いと思います。
文学・評論,2006年3月29日,5,待望の文庫化。,冒頭衝撃的な殺人現場からスタートするこの物語は、世界的に有名な名画と人物、そして宗教を複雑な糸で繋ぎ合わせたミステりー小説だった。かねてから読みたいと思っていたが、ハードカバーでは高価すぎるので文庫化を待っていた。レオナルド・ダ・ヴィンチの絵と秘密結社、そしてキリスト教が、現代に甦って語りかけているような面白さがあった。上巻は、まずルーブル美術館長の殺人事件からスタートする。暗号解読捜査官ソフィーと、大学教授ラングドンは、現場に残された暗号を解きながら、核心へと迫っていく。普段見過ごしがちな絵画の片隅に、こんな暗号が残されていたとしたらちょっとスリリングだ。そんなワクワク感が高まった巻だった。
文学・評論,2006年7月29日,4,面白いが軽い,本作品は、サスペンス・ミステリーとして第一級と言ってよいであろう。しかし、特にカトリックの教義を否定するかのような歴史的な謎を扱っているにしては、重みのない作品である。読み終えた後に大きな余韻が残る作品でもない。これは私がキリスト教徒でないため、ヨーロッパ文化の中で育っていないためかもしれない。難解な表現はないし、キリスト教や事件の鍵に関する解説も登場人物を通してなされているので、エンタテインメントとして気軽に読み始めるのがよい作品と言えるだろう。特にキリスト教徒でない日本人なら、キリスト教が全否定されたところで実害は何もないのだから。（これは上中下巻を通してのレビューです。）
文学・評論,2004年6月15日,4,時間のあるときに一気読みをすすめます。,誰でも、秘密は知りたい、暗号と言われれば解き明かしたい。その思いでいっき読みしてしまうでしょう。、私の場合はこの本の前に、”レオナルドのユダ”という本を読んで、ダヴィンチに興味があったため、何？何？へー！っという感じで、読み終わったあとはすごい物知りになったような気になりました。少しでもレオナルドダヴィンチの事を知っている人なら、登場人物より先に暗号解読の方法に気が付いて、いらいらするかも。とにかく話が面白い本です。何かしながら読むと続きがきになるので、時間のあるときにどうぞ。
文学・評論,2009年6月13日,5,映画を見てから読んだので、わかりやすかった。,いつもどちらを先にするか（見てからか読んでからか）、悩むところですが見てからが正解でした。だいぶ難しいかも・・・でも読んで良かった。
文学・評論,2015年3月15日,3,スピード感が命,まるまる一冊、ルーブルからの脱出劇に費やされます。ほとんど謎解きは進みませんので上巻だけ買っても面白味はありません。ただ、スピード感あふれる展開は読んでいて楽しい。いかにも映画化を前提としたアメリカらしい小説です。キリスト教や西洋美術の知識は必要ですが、せいぜい高校受験に求められる程度かと。あと、宣伝文句にキリスト教の歴史が変る云々のようなことを書いていますが、そんなに大それた話ではなく、新発見とか新説とかが盛り込まれているわけでもありません。ただ、カソリックの世界に限ってショッキングなだけで、プロテスタントの世界から見れば「ふーん」という程度の話です。まあ、全体的にはインディジョーンズと同じテーマと思って差し支えありません。
文学・評論,2004年6月22日,4,パリ、ロンドンに旅行した気分,"一気に読み終わった。神格化され、教理化されたこれまでのイエス像に挑戦する大きなテーマを持った小説。イエスはマグダラのマリアと結婚しており、十字架で死んだ後、マリアはフランスに逃れて
娘をもうけたという。イエスの時代、そして死後３００年間は人間として扱われていた。イエスは325年のニケーアの公会議で神になり都合の悪い証拠は抹殺されていった。こうしたカトリック教会のタブーに挑む論説を横糸に、ミステリーが進行する。キリスト教に関心がなくても、楽しめる第一級のストーリー。"
文学・評論,2005年2月12日,5,3日で読み切りました,普段あまり読書しない私でも、内容に引かれて3日で読んでしまいました。内容は複雑すぎず、謎解きと逃亡のサスペンス、どんどん展開していくスピードが最高です。一般になじみの薄い内容を脚注なしで理解できるようになっているのもすごい。翻訳の読みづらさもない。気がついたら、ダビンチコードの上下を読み終わった次の瞬間に同じ著者による「天使と悪魔」を注文していました！映画化されるのも楽しみ。（トムクルーズが主演というのがちょっと安易な気もするけど。）
