ジャンル,投稿日時,星の数,見出し,レビュー全文
文学・評論,2018年10月21日,2,「女性にしては長身だ」とは?,"東野さんの小説でまた気になる部分があった『女性にしては長身だ』とはなんでしょう。もしこれが男性だった場合わざわざ『男性にしては小柄だ』と書くことがあるのか。身長の高低に性別が関係あるのか。
男女関係なく背が高い人もいれば低い人もいる。もちろん男の人で背が低い人も沢山いるし高い人も沢山いる。それは女の人にも言える。人魚の眠る家でも昼間のこんな時間から集まれるのは女性くらいのものだみたいな描写があったけど東野さんは男だ女だと区別せずに描くことはできないのか。いい加減変だということに気づいて欲しい。そしてもう一つ『かけっこになれば男の方が速い』これにもビックリ。かけっこは男の方が速いなんて誰が決めたんだ？常識なのか。男の人でもかけっこ遅い人もいるでしょう。女の人に勝てない人もいるでしょう。色んな人がいるでしょう。なのに何故かけっこになれば男の方が速いなんて決め付けてるのか。。何故こんな偏見を随所に散りばめられるのかその神経が分からない。東野さんは男の方が女より優位だと本気で思ってる人なのだろうか。後『写メールで送ります』と能勢が言うシーンがあるけど写メールとはジェイフォン(今のソフトバンク)の登録商標なのを知っているのだろうかと思う。一般的にケータイで画像を送ることを皆『写メする』とか言うけどドコモやauから送った場合それは写メールにはならない。馬鹿の一つ覚えのように写メールとか写メ写メと言うけど普通に画像を送るとか添付するとか言えないものかと い つ も 思う。後コンビニで午後2時ごろにワインの持ち込み配達依頼があったと分かってるならコンビニに防犯カメラ調べれば？と思う。ワインはホテルに届いた前日にコンビニから発送されたんたんだからよっぽど"
文学・評論,2017年10月21日,5,一気読み!,東野さんの作品は、どれもとにかく引き込まれ、いっきに読みたくなります。この作品もそうでした。なかなか犯人現れず、モヤモヤしながら読んでましたが、さすが！という感じで、最後はスッキリ！！面白かった！！
文学・評論,2017年11月3日,4,オススメです!,個人的には、今まで読んだ東野圭吾作品で一番面白かったです。途中からは、終盤はページを捲る手が止まりませんでした。中盤の刑事と客のやりとりも痛快だし、作り話とはいえ、ホテルスタッフの細やかな配慮には脱帽。こんなホテル、あったら泊まってみたいです。新作「～ナイト」も文庫版出たら読みたいです。
文学・評論,2017年12月11日,5,映画公開が楽しみです,すぐに、本の中に溶け込みあっという間にとりこになりました。映画公開をとっても楽しみです
文学・評論,2018年3月4日,4,すごく楽しめました。,山岸さんの大ファンになりました。新田さんとの今後も楽しみです。うまくいくといいな。
文学・評論,2018年4月24日,5,さすが東野圭吾!,来年キムタク主演で 映画化されるので 購入しました。とても 面白くて ドキドキしながら読んでいます。
文学・評論,2016年1月3日,4,面白いですよ,白夜行を以前読み、けっこう時間が経過してからこの本を手に取りました。あっという間に読んでしまいました。ぜひ、読んでない方に進めたい一冊です。実写化もしてほしいな……面白いですよ。
文学・評論,2016年7月12日,5,面白かった,どんどん中に引き込まれていきました。非常に面白かった。続編が出ないかなー。
文学・評論,2018年12月15日,3,読書に熱中出来た作品,久々の読書に選びましたが、先が気になる展開に夜更かしするほどのめり込んで読み進めました。結末は、正直あっさりしていて山もない印象でしたが読書している間を楽しめたのは良かったと思います。
文学・評論,2014年10月1日,4,ホテルと刑事,連続殺人事件。共通点は、現場に残された暗号のみ。このホテルで次に誰かが殺される-そんな設定。新コンビの誕生でもある。一人はホテルのフロントクラーク、山岸尚美。もう一人は切れ者の刑事、新田浩介。ホテルにはいろいろな客が来て、様々な出来事が起こる。そんなことを繰り返しながらホテルの業務は成り立っているのだ。そんな仕事をこなしながら、新田、尚美のコンビは真相に迫ろうとする。しあｋし、フィクションとはいえ、取材に基づいているはずなので、実に様々な客がいるものだ、と思わされる。クレームをつける者、浮気現場を押さえようとする者…などいろいろな人間模様が描かれる。天空の蜂などに比べると、そんなにスケールの大きい小説ではない。しかし、それが悪いわけでもない。小さい事件を解決すると、そこから本筋の事件への糸口が見つかったりする。そんな風にして話は進んでいく。事の真相が見えたと思ったら、さすが東野圭吾、真相はさらにその先にある。意外性はあり、構成もうまく、犯行の動機も納得できるものである。刑事新田のホテルマン役になじんでいくところも、読んでいてすがすがしい。ホテル業務と刑事事件を上手に結びつけた、新たなシリーズミステリーの誕生である。このコンビもなかなか楽しませてくれそうだ。
文学・評論,2018年3月25日,4,高級ホテル舞台に繰り広げられるサスペンス,都内にある高級ホテルで予告された連続殺人事件を追うサスペンス。主にホテルマンに扮する若手刑事とやり手のホテルウーマンを中心にストーリーは展開していく。都内で起きた３つの殺人事件の現場には不可解なメッセージが残されていたが、暗号を解読すれば次の殺人事件はホテルで行われるとのこと。複数の警察官がホテル従業員となり潜入捜査を開始する。次々と疑わしい客が宿泊していく中、独特の鋭い視点で犯人を見る若手刑事と、指導役のホテルウーマンから垣間見える高級ホテルの見事な接客やプロ意識がこの小説の見物。（本題とはそれるが高級ホテル従業員の高いマインドには感心させられた）。徐々に引かれ会う二人のやり取りも面白い。ラストいくまでに若干間延びした感は否めないが、読みやすい内容でどんどん引き込まれて一気に読みきった。
文学・評論,2017年3月5日,5,マスカレード・ホテル,やはり東野圭吾氏のミステリーは良い。本作も、いかにもという感じがする。氏のファンなら、安心して読める。
文学・評論,2015年12月15日,5,かなり楽しめました,タイトルに惹かれて購入しましたが、ここまでおもしろいとは！能勢刑事が良い味だしてますね。この物語の伏線が描かれた「マスカレード・イブ」も良かったです。
文学・評論,2017年11月3日,4,人間模様に引き込まれます,私の不注意から、文庫本のつもりで買ったら単行本でした。けっこう嵩張るのでご注意を。東野圭吾さんはミステリー作家というよりエンタメ作家。推理より人間模様に引き込まれます。本作品も『こんな筋書きありえへん』と思いつつ、読後の完結感と登場人物の描き方はさすがだと思いました。
文学・評論,2011年10月14日,4,デビュー25周年作品三冊のなかではいちばん良作,高級ホテルを舞台にしたミステリー。登場するお客様たちは、個性豊かで実際に起きそうな事件ばかりなので、ミステリー要素を省いても小説になりそう（でも、そうなると昼どらみたいだね）お客様への対応は、プロの仕事だと感心した。また、新田の刑事としての見方と尚美のホテルマンとしての考え方の違いがおもしろかった。二人が、立場の違いを乗り越えて、徐々に信頼関係を築いていくシーンも好感がもてた。後半、いよいよ真犯人登場か！？と盛り上がったが、すごく長く引き伸ばされていたので、ああ、違うなと思ったら、最後、数ページでどんでん返しの急展開には、びっくりした。え、この人犯人？ホテルマンとしての勘はどうした？しかも、犯行動機を自分からぺらぺらしゃべりだしたあたりは、もう火サス的展開…最後はよかった。東野作品にはめずらしい、ハッピーを予感させるラスト。
文学・評論,2016年4月23日,4,ホテルマンのおもてなしのスタンスを学べる,ホテルマンのおもてなしに学ぶことが多かった。ただ、お客様一人一人の感じ方は別であり、おもてなしの手段に完全な正解はなく、情熱だけではないバランス感覚が必要なことが学べる良い作品です。（大規模な殺人計画が起こした犯人の動機も、お客様に対する善意の一方で恨みを買うことになったという設定は、その難しさを物語っていると感じます）東野ファンとしては、人間関係や動機に焦点を当てている方の作品ですが、伏線の張られ方はよく考えられていると思います。私は、白夜行や秘密が好きですが、こちらも楽しく読ませていただきました。
文学・評論,2013年9月10日,3,動機がいまいち,よくもここまで複雑な事件を考えたなぁと関心しましたが、動機がいまいちです。なにも殺人まで…。と思います。物語そのものとは別に、ホテルマンとはすごい仕事なんだと感心しました。
文学・評論,2018年2月6日,3,まあまあおもしろい。,おもしろかったです。一気に読めました。でもミステリ小説とは言えないかも。ホテルで潜入捜査してるのに、終盤まで全然何も事件が起こらないので退屈でした。最後に狙われていた人物は予想通りでした。変な客多くてホテルマンはすごいなーと思える小説ですね。
文学・評論,2014年12月5日,5,最高級ホテルに泊まりたくなった,東野圭吾の本を読むのは、これが初めてです。作品に触れたのは、映画の白夜行が初めてで、暗く辛くなってしまって、距離を置いていました。書評を見て、これなら読んでみようかな…と思いました。話の展開が面白く、夢中になりました。なにより、登場人物が素敵です。
文学・評論,2015年7月3日,5,面白い,面白くて面白くてドラマでやってもらいたいです。東野圭吾さんの本は本当に楽しいです。
文学・評論,2015年4月16日,5,面白かった。,東野圭吾の作品は、非常に面白いので今後も読み続けたいと思います。
文学・評論,2017年5月2日,3,施設の中で登場人物たちがドタバタしただけの印象,場所がホテルだから特定された動きの中で相変わらずの仕掛けが色々とリ混ぜて出てきましたが、作品としては普通でしょう。
文学・評論,2015年6月5日,5,ありがとう,大満足。たいへんいい本です。読みごたえがあります。ありがと！
文学・評論,2018年1月22日,5,東野さんの本はハズレがないですね,まだ著作を全て読んだわけではないですが、色々な世界を見せてもらってるようで毎回楽しんで読みます。自分も主人公と一緒にホテルに潜入しているようで楽しいです。ありがとうございます。
文学・評論,2016年6月18日,5,マスカレード・ホテル,イブとホテルを一気読みしたくて購入しました。面白かったです。
文学・評論,2018年2月6日,5,なるほど,東野圭吾の小説を読んでるだけど数字が羅列されていて一見小説読みでは理解整理出来ず一度立ち止り3度読み返し整理できました。要するに経度緯度で犯行現場を示し次の犯行も経度緯度で予告しているミステリーです。
文学・評論,2015年3月30日,5,オススメ,シリーズの第二作（内容としてはエピソード０）を読んでからの購入でした。両作揃えてとても満足です。
文学・評論,2015年1月18日,4,万人受けする非常に読みやすい作品,東京出張の往復の機内で読みました。1年ほど前に購入し読まずに眠っていたもの。読み始めるといつも通り読みやすいために一気に完読。新田刑事はどこか初期の頃の不器用な加賀刑事に似たような錯覚を感じつつも徐々に彼自身が成長していく姿も描かれており非常にうまくまとまっている。事件は始めアガサクリスティのABC殺人事件を彷彿とさせるような展開かと思いきや最後は現代的にうまくまとまっている。東野圭吾氏の近年の作品は人情ものの要素と最後にきれいに伏線を回収する。非常に万人受けしやすい作品が多く、この作品もまさにそういう作風と思われる。新田刑事と山岸尚美のコンビはまた別作で見てみたいけどさすがにシリーズ化は厳しいでしょう。他の方のレビューにあるように映画や特別ドラマを意識して書かれているような気もするが東野氏の今のスタイルはこういうものだと思えば別に悪い気もしない。普通に楽しめる作品です。最近発売されたマスカレードイブを帰りに買って帰ったのは言うまでもない(笑)
文学・評論,2017年11月5日,5,大満足です!!,この価格でこの品質!!奇跡的な出来事でした!!こんな商品にまた出会いたいものです!!また高品質・低価格の商品をお願いします！大満足です
文学・評論,2011年9月14日,3,ホテルマンと警察官の推理対決,超高級ホテルのホテルマンたちはプライドが高い。それは、自分の品位をかなぐり捨てでもホテルに来たお客様を尊重しもてなすという、執念にも似たものだ。そんな異質な業界に迷い込むことになってしまったのが、人を疑うことを生業とする一人の警察官。この２つの職業は一見正反対のようにも思えるが、初対面の相手の本質を即座に見抜き、対処法を考えるという点に置いては非常に良く似ている。最上のサービスを提供するために相手の気持ちを推理するホテルマン、そして犯罪を防止するため客の不穏な動きに目を光らせる警察官、この２人の推理対決が本書の見所だと感じました
文学・評論,2014年10月16日,5,明るい東野作品,他の東野作品に見られるような、作品中ずっと行間に佇むような陰湿さのない作品です。とても読みやすく、キャラクターもチャーミングです。複線もしっかり練られていて、楽しく読めました。つづく「マスカレード・イブ」はいわゆるスピン・オフ。これが気に入ったら、短編のご愛嬌作品も十分楽しめます。
文学・評論,2012年3月19日,5,何も考えずに楽しく読めるエンターテイメント,元々東野圭吾が大好きである時期まで全作品を読んでいましたが、直木賞を取ったくらいから、あまり作品が面白いと感じなくなって、最近は読んでいませんでした。ストーリーが面白そうなので久しぶりに読みました。深くはないですが、単純に楽しめました。新田刑事と山岸さんの関係も好感が持てます。ホテルマンに関するリサーチがしっかりしているので、自分が知らない世界を知るという側面もあり楽しめました。僕は好きです。
文学・評論,2015年1月4日,4,面白かったです,面白かったです。ちょっとシチュエーションが不自然かな？と思う箇所もありましたが、ま、小説ですから。ただ、文章自体に、再読したい、もう一度味わいたいと思うほどの魅力を感じませんでしたので、星は一つ、減らさせていただきます。
文学・評論,2017年3月6日,5,主人公コンビが恰好良い,主人公の男性刑事とホテルマンの女性が素敵ですね。なんだかんだでコンビで事件に挑む形になるのですが、職業が違うので、一方は事件の解決を望み、もう一方はホテルの安全を優先しようとする。二人とも自分の仕事に一生懸命なので、信念の違いが時にぶつかってしまう。熱いです。サスペンス要素だけでなく、ホテルを訪れる客たちの人間ドラマもあり、最後まで飽きさせません。逆に本筋の事件は割とあっさりだったかな？
文学・評論,2013年7月14日,5,GOODです!,納期についても素早い発送でポイント高い。商品の梱包状態も丁寧で問題ありませんでした。GOODです！
文学・評論,2016年2月1日,2,う〜ん,入り込めなかった、人物にもあまり共感できない。あれ？いつ盛り上がるのだろうという感じでした。東野圭吾の本は割と好きなのですが、これは合わなかった。
文学・評論,2014年11月9日,5,再度読み直しました,マスカレード・イブを読んだ後にもう一度読み返しました。マスカレート・イブで新田刑事と山岸の性格背景がよく描かれていたため、マスカレード・ホテルをさらに楽しめました。
文学・評論,2014年11月11日,5,期待通りの作品でした。,東野さんの作品は多いのですが、全て期待通りの作品となっていてすぐに読んでしまうので次の作品が待ち遠しいです。
文学・評論,2015年2月28日,3,トリックの設定に無理が合った気がしてならない,東野圭吾の良いところはとても読み易く、すらすらページが進むところ。発売日順でいくと逆なのだがエピソードにあたる「マスカレード・イブ」から読んだため、新田刑事の成長を2冊に亘って味わえたのも自分的には良かった。しかし「マスカレード･ホテル」一冊としてみた場合には内容にかなり不満が残る。犯罪者は用意周到な人物と前半、中盤で振っておきながら、トリック設定にはかなり無理があり、読み終えたときの爽快感が少なく、おかしな部分も多々あり、首をかしげる結末にはとても残念だった。そういった意味では、色々な性格の人物、高級ファッションで着飾った人物、色々な理由でホテルに宿泊する人物が宿泊中に起こす事件を短編で追った「マスカレード・イブ」の方が違和感なく楽しめた。
文学・評論,2014年11月27日,3,今ー?,スリル満点の展開と思ってたら、ホテルのいろいろなお客さんの話でちょっと残念。
文学・評論,2014年9月28日,5,東野圭吾ファンです!,夫婦して東野圭吾ファンで今までの小説は全てクリアしています。毎回出るたびに楽しみにしています！
文学・評論,2016年11月5日,5,新品同様です。,中古なのに新品同様の本でした。頁を捲っても書き込みもなく、良質の本の御提供ありがとうございました。ストーリーもホテルの本質を捉えながらの展開て面白かったです。
文学・評論,2013年10月8日,5,東野圭吾氏の著書は殆ど読みました。時にさ気風が変わり期待している。,東野圭吾氏の著書は殆ど読みました。時に作風が変わり期待している。次の作品を期待しています。
文学・評論,2015年11月17日,5,やはり東野圭吾さんの作品はすごい,冒頭からぐいぐい引き込まれていく東野さんらしい作品です。犯人もわからない、誰が標的になっているのかもわからない、ただ事件が起こる場所だけは、はっきりしている。推理小説の好きな私でもこんな設定はおそらく初めてだと思う。さらにこういうタイプの小説は警察内部が舞台になりがちだが、ホテルを舞台にすることで中身が濃くしかも幅の広いストーリーに仕上がっている。新田刑事とホテル従業員の山岸尚美を中心としてストーリーは展開していくがやはり一番印象に残ったのは所轄の刑事能勢である。イメージとしてはこの人はおそらく中年のくたびれた感じの刑事でとても切れ者には見えないのだろう。そんな彼が時々ひょっこり現れてはさりげなく新田をサポートし、事件解決へと導いていく。彼の存在がこの小説の最高のスパイスになっている。結末は私には到底予想できるものではなかったが、それまでの一見無意味に思える場面や会話がしっかり伏線になっていてさすが東野さんだなと思う。事件解決に至る推理に無理を感じないわけではなかったが、小説全体の素晴らしさを思えば　やはり星５つしかないなと思いました。
文学・評論,2014年10月30日,5,秋の夜長に・・・,推理小説を久しぶりに読みました。読み始めると、止まらない本ですね。ハラハラします。秋の夜長には最適な本です。
文学・評論,2011年9月22日,3,割合による。,"東野圭吾さんに、何を求めているかにもよるし、自分が何を求めてるかにもよる。東野圭吾さんが・・・で、あてはめても同じ。若いころ・・・昔とは違うのは皆同じ。東野さんが年齢を重ねたからか、なんらかのしがらみが増えたか、その他「ドラマ化を狙った」とかありますけど・・・過去の作品とは、違うのは確か。でも、読む人のタイミングにもよるし、なにより・・・作り手の創ったものが、それです。とやかく言うことじゃないでしょう。読むか否か、楽しめたか否か、は、自分で買って、読んで判断すべき。
それ以前の「買い物的なサイト」で議論するべきではないと思う。"
文学・評論,2016年7月21日,5,お仕事ドラマとしても最高!,ミステリーの謎解き部分はもちろんのこと、相反するバディの二人が仕事を通じて信頼関係を築いていくのが、とても面白かった！
文学・評論,2016年8月13日,4,中古本,いつもながら満足できる内容でしたが、初めて中古本をこちらで購入。美品でしたが、とぉーーーってもタバコ臭くて、それだけが残念でした。
文学・評論,2012年2月5日,3,読みやすいがあっさりしすぎ,舞台が都心のホテルで、様々な宿泊客が登場し読みやすい内容だったが、ミステリーとしては今一つ。現場の数字の意味するものも予測が付きやすく、３つの連続殺人と4つ目の事件を結びつける背景やいきさつが不足しているので、読後様々な疑問点が残った。他の意見と一致するが、2時間ドラマの内容、可もなく不可もなくといった作品が続いているように思う。
文学・評論,2014年9月26日,4,映画化したものが観たい,一気に読んでしまうのはちょっともったいない気もする。様々な伏線を与えてくれるので、ときどき本から離れて、ちょっと自分で考えを整理してから、再び読み進める、というふうにすると、より充実感が得られるように思う。通勤時に車内で読み、乗り換え徒歩中に推理し、ホームで電車を待つ列の最後尾に並び、自分の推理が当たっていたか確認する、という繰り返しが実に楽しかった。映画化するなら、山岸さんは木村文乃さん、新田さんは三浦春馬でどうでしょう。
文学・評論,2017年10月22日,3,映画化,内容的には引き込まれないが、文章的には一気に読めた。キムタクで映画化はイメージが違う。私は、伊勢谷友介と広末涼子でイメージして読み進めた。年齢的にも良いと思うが二人の共演は実現しないでしょうね。
文学・評論,2014年7月29日,5,ベタがいい,主役がもうちょい若かったら対立やいがみあいもラブコメチックに描かれたかもしれない。実際はプロの大人同士でしたが落ち着く先は同じだったでしょう。結末に安心しました。娯楽作品として申し分ありません。
