ジャンル,投稿日時,星の数,見出し,レビュー全文
医学・薬学・看護学・歯科学,2016年6月22日,5,いい世界観です,認知症患者を看る上での新しい世界観を与えてくれました。今までは転倒しないことに焦点を当てていましたが、立って歩いてもらうことに焦点が行くようになりました。この考え方が主流になることを祈っています。
医学・薬学・看護学・歯科学,2018年9月27日,5,ユニマチュードを実践して,私は、４年前に「ユマニチュード入門」を購入。当時勤務していた認知症対応のグループホームで、介助困難とされていた超高齢のFさんとの係わりで実践。おむつ交換では激しく抵抗されるため二人で対応していた彼女への介助が、私一人で十分対応できるほど、ユマニチュードの効果は大きかった。私の係わりに対して、「この人は特別じゃ」「この人は優しいけぇ」「あんたは私を見てくれる」・・97歳Fさんからの最高のフィードバックでした。そう。「見る・話す・触れる・立つ」・・残念ながら、立つことは出来なかったけれど、しっかりアイコンタクトが取れて、話し、触れることが出来て「とことん寄り添う」ための技術的な裏付けとなりました。今月末で居宅介護支援事業所を退職、来月からは小規模多機能ホームでのケアマネジャー勤務・・改めてユマニチュード入門を読み直しています。２０１６年８月に「ユマニチュードという革命」が出ましたが、私にとっては詳しすぎる解説書。この「ユマニチュード入門」を、忘れたころに読み返すのがベストでしょう。
医学・薬学・看護学・歯科学,2015年12月29日,4,技術を学ぶとは?,テレビの番組でみて、気になって購入しました。奇跡ではなく、魔法でもなく、技術であると言われているのが感心しました。技術を学ぶことも大事なのだと思いました。本を読んで、気持ちが救われました。もっと早くに出会っていたらともおもいました。
医学・薬学・看護学・歯科学,2017年8月12日,3,ちょっと母の症例とは違ってました,実母の介護にと思って、読んでみようと思い、購入しました。母はまだ介護度が要支援なのですが、この本に出ている例はかなり介護度が高い方向けなので、すぐには実践出来る事がありませんでした。でも今後のためにしてあげられる事はいくつかありましたので、時々読み返したいと思います。
医学・薬学・看護学・歯科学,2018年10月29日,4,デジャブ?,認知症ケアこの言葉にひかれて購入しました。コミュニケーションスキル心理学的アプローチ解りやすく解説されていたので、他の講座で聞いた内容に合点がいったものもありました。人と関わる場面で応用できる内容なので認知症だけではなくコミュニケーションのガイドブックとして読むのもありだと思いました。
医学・薬学・看護学・歯科学,2017年12月9日,5,ユニマチュード,認知症に関わらず 人としての基本が 書かれています。全ての人に読んでほしい本てます
医学・薬学・看護学・歯科学,2018年7月19日,5,必読の書,介護をする方は是非とも読んで下さい。何の為の介護か理解できます。
医学・薬学・看護学・歯科学,2018年1月18日,5,笑顔が見れます,認知症の方と接する事が多く、研修ですこしユマニチュードについて聴く機会があり感銘を受けたので購入。中に書いてあることを実践する事は、簡単そうでできない。でもやってみると、笑顔が見られます。ぜひ一度読んでみてください。
医学・薬学・看護学・歯科学,2016年3月4日,5,よみやすい,イラストつきで、文章もぎっしりではなく、程よく読みやすいです。
医学・薬学・看護学・歯科学,2016年11月23日,5,スタッフ全員に読んでもらいました。,DVDは、フランス語だったために大変疲れました。この本は、すぐ読めました。
医学・薬学・看護学・歯科学,2016年5月2日,4,まーのはは,テレビで見て、探していた本だったので購入。実際に仕事でも役立っています。
医学・薬学・看護学・歯科学,2014年10月1日,5,親しみやすくわかりやすい。,とくに要介護の家族がいるわけではないのですが、書籍の紹介欄を読んで即座に購入しました。イラスト入りで親しみやすく、文章も的確でわかりやすい。いままで、介護に携わってきた方が、この本に触れて、少しでも心穏やかにお仕事に従事されたら、介護する方もされる方も、とても平安な気持ちになると思います。責任感の強い方にこそ、オススメの一冊です。
医学・薬学・看護学・歯科学,2017年8月16日,5,バイブルです。,本田先生が日本に紹介してくださったユマニチュードをわかりやすく知るための本。発売直後に購入し、今でも時々見ています。
医学・薬学・看護学・歯科学,2015年8月8日,3,とってもためになる本でした,自分の考えが変わる一冊。とっても勉強になるし、人間に対するケアの仕方に感動しました
医学・薬学・看護学・歯科学,2017年7月5日,5,読みやすい,一見看護の基本であるようですが、ユマニチュードは知覚情報を妨げないような細かなテクニックがそこにはあり、この細かなテクニックを習得したいと強く思いました。大変興味深い一冊でした。
医学・薬学・看護学・歯科学,2015年8月25日,5,nao,私は看護師３年目です。認知症の方が入院されていてどのように関われば良いのか分からなくて悩んでいた時にユマニチュードという言葉を知り、本を手に取りました。わかりやすく書かれているため読みやすかったです。実際に、ユマニチュードを用いた関わりを行うと患者様が穏やかな表情をされました。今後も継続して関わり他のスタッフにも広げていきたいと思います。
医学・薬学・看護学・歯科学,2018年6月16日,5,わかりやすい,とにかくわかりやすいです。入門書としてオススメです。
医学・薬学・看護学・歯科学,2015年12月22日,4,楽しく読めました。,目から鱗という程のじょうほうばかりではないため、星１つ減。。でも、知らなかったことや、なるほどなあということもあり、勉強になりました。看護師です。
医学・薬学・看護学・歯科学,2016年12月16日,5,おすすめです,イラストなど工夫がされていて、とても読みやすかったです。内容もすごく濃いもので、購入して良かったです。友達にも薦めています。
医学・薬学・看護学・歯科学,2014年11月30日,5,理解しやすい内容です。,医療の職場で知らず知らずと患者さんを言葉で抑制している姿を目撃します。分かってはいるけれども・・。言葉や態度で抑制をしてしまう・・。そんな人達に読んで貰いたい。プロとして技術を持って接して欲しいと心から願うばかりです。
医学・薬学・看護学・歯科学,2016年3月31日,4,勉強になります。,前から購入したいと思っていたので手に入り良かった！商品到着も早く早速役に立つ情報を手に入れました！ありがとうございます。
医学・薬学・看護学・歯科学,2014年9月18日,5,わかりやすい,すっと読めました。イラスト入りでユマニチュードを簡単に理解するにはとてもいい本だと思います。
医学・薬学・看護学・歯科学,2017年12月9日,5,素晴らしい。,医療系の仕事をしていて、とても考えさせられる内容でした。実践できるようになりたいです。
医学・薬学・看護学・歯科学,2015年9月17日,5,参考になりました。,とても読みやすいです。何度も読み返したいと思います。ただ、普段の業務内で当たり前にしてることも多かったです。
