title,id,author
イニシエーション・ラブ (文春文庫),573811,乾くるみ
君の膵臓をたべたい,9743485,住野よる
マスカレード・ホテル (集英社文庫),8151617,東野圭吾
氷菓 (角川文庫),580078,米澤穂信
風が強く吹いている (新潮文庫),578430,三浦しをん
下町ロケット (小学館文庫),7763339,池井戸潤
オレたちバブル入行組 (文春文庫),552620,池井戸潤
コンビニ人間,11104585,村田沙耶香
ぼくは明日、昨日のきみとデートする (宝島社文庫),8195437,七月隆文
コーヒーが冷めないうちに,10086161,川口俊和
冴えない彼女の育てかた (富士見ファンタジア文庫),5162581,丸戸史明
ビブリア古書堂の事件手帖―栞子さんと奇妙な客人たち (メディアワークス文庫),2985427,三上延
小説 君の名は。 (角川文庫),11022757,新海誠
火花,9337453,又吉直樹
ちょっと今から仕事やめてくる (メディアワークス文庫),9296040,北川恵海
フリーター、家を買う。,578831,有川浩
謎解きはディナーのあとで,365956,東川篤哉
ようこそ、わが家へ (小学館文庫),6866966,池井戸潤
陽だまりの彼女 (新潮文庫),3314027,越谷オサム
もう誘拐なんてしない (文春文庫),611433,東川篤哉
夜は短し歩けよ乙女 (角川文庫),578893,森見登美彦
涼宮ハルヒの憂鬱 (角川スニーカー文庫),579985,谷川流
ナラタージュ (角川文庫),578813,島本理生
池袋ウエストゲートパーク (文春文庫),578249,石田衣良
何者 (新潮文庫),9763365,朝井リョウ
羊と鋼の森,9825846,宮下奈都
告白 (双葉文庫),578162,湊かなえ
永遠の0 (講談社文庫),575330,百田尚樹
ストロベリーナイト (光文社文庫),577008,誉田哲也
八日目の蝉 (中公文庫),2161483,角田光代
舟を編む,4096074,三浦しをん
カブキブ! 1 (角川文庫),6969912,榎田ユウリ
クリーピー (光文社文庫),7998010,前田裕
検察側の罪人,7129510,雫井脩介
陸王,11060897,池井戸潤
蹴りたい背中 (河出文庫),563881,綿矢りさ
植物図鑑 (幻冬舎文庫),6279347,有川浩
白夜行 (集英社文庫),581062,東野圭吾
あゝ、荒野 (角川文庫),493663,"寺山修司,鈴木成一"
悪の教典〈上〉 (文春文庫),5195841,貴志祐介f
推理小説 (河出文庫),575849,秦建日子
海賊とよばれた男(上) (講談社文庫),8115100,百田尚樹
勝手にふるえてろ (文春文庫),5195835,綿矢りさ
紙の月 (ハルキ文庫),8301809,角田光代
ピンクとグレー (角川文庫),7968322,加藤シゲアキ
忍びの国 (新潮文庫),2775021,和田竜
疾風ロンド (実業之日本社文庫),7512112,東野圭吾
娼年 (集英社文庫),571487,石田衣良
白ゆき姫殺人事件 (集英社文庫),7944383,湊かなえ
探偵はバーにいる (ハヤカワ文庫JA),504921,東直己
ナミヤ雑貨店の奇蹟 (角川文庫),8337959,東野圭吾
のぼうの城,576513,和田竜
ラプラスの魔女,9649697,東野圭吾
レインツリーの国 (新潮文庫),580890,有川浩
清須会議 (幻冬舎文庫),6969479,三谷幸喜
ゴールデンスランバー (新潮文庫),1347831,伊坂幸太郎
蜜蜂と遠雷,11170766,恩田陸
空飛ぶタイヤ(上) (講談社文庫),552606,池井戸潤
Ａｎｏｔｈｅｒ（上） (角川文庫),4320875,綾辻行人
贖罪 (双葉文庫),4922214,湊かなえ
青の炎 (角川文庫),574146,貴志祐介
リアル鬼ごっこ (幻冬舎文庫),579373,山田悠介
スマホを落としただけなのに (宝島社文庫 『このミス』大賞シリーズ),11648502,志駕晃
世界の中心で、愛をさけぶ,575564,片山恭一
いま、会いにゆきます,570592,市川拓司
Nのために (双葉文庫),8209807,湊かなえ
隠蔽捜査 (新潮文庫),580075,今野敏
嫌われ松子の一生 (上) (幻冬舎文庫),561356,山田宗樹
インシテミル (文春文庫),587084,米澤穂信
チア男子! ! (集英社文庫),6374291,朝井リョウ
リピート (文春文庫),570421,乾くるみ
流星の絆 (講談社文庫),3002969,東野圭吾
グラスホッパー (角川文庫),579679,伊坂幸太郎
図書館戦争 図書館戦争シリーズ (1) (角川文庫),3056844,有川浩
ブラックペアン1988,578675,海堂尊
ジョーカー・ゲーム (角川文庫),3199626,柳広司
ラストレシピ 麒麟の舌の記憶 (幻冬舎文庫),11103268,田中経一
ユリゴコロ,2634648,沼田まほかる
100回泣くこと (小学館文庫),579402,中村航
藁の楯 (講談社文庫),559889,木内一裕
旅猫リポート (講談社文庫),11491734,有川浩
青春ブタ野郎はバニーガール先輩の夢を見ない (電撃文庫),8042095,鴨志田一
Just Because! (メディアワークス文庫),12410170,鴨志田一
桐島、部活やめるってよ (集英社文庫),4732315,朝井リョウ
ひげを剃る。そして女子高生を拾う。 (角川スニーカー文庫),12592431,しめさば
ふがいない僕は空を見た (新潮文庫),5425054,窪美澄
【TVアニメ化】響け! ユーフォニアム 北宇治高校吹奏楽部へようこそ (宝島社文庫),7778163,武田綾乃
武道館,9699556,朝井リョウ
とらドラ!1 (電撃文庫),575187,竹宮ゆゆこ
阪急電車 (幻冬舎文庫),624647,有川浩
潮騒 (新潮文庫),578734,三島由紀夫
ソードアート・オンライン〈1〉アインクラッド (電撃文庫),569615,川原礫
探偵ガリレオ (文春文庫),581064,東野圭吾
散り椿 (角川文庫),9012969,葉室麟
パンク侍、斬られて候 (角川文庫),543816,町田康
友罪 (集英社文庫),9935898,薬丸岳
虐殺器官 (ハヤカワ文庫JA),565343,伊藤計劃
破門 (単行本),7878613,黒川博行
まほろ駅前多田便利軒 (文春文庫),569044,三浦しをん
果てしなき渇き (宝島社文庫),562613,深町秋生
